state,module,yrs_cca,ps_hs,ps_cca
"AL",1100,4,.4601104,.9383325
"AZ",1100,8,.6804734,.4619328
"CA",1100,15,.753652,.4988864
"CO",1100,9,.6963534,.6873339
"DC",1100,6,.9090909,.9343522
"FL",1100,6,.6078808,.5761746
"IA",1100,1,.7094188,.8207172
"IL",1100,2,.7249006,.76875
"IN",1100,14,.6602773,.8679426
"KS",1100,6,.5248918,.8764242
"ME",1100,4,.7619962,.8299956
"MN",1100,17,.7652174,.8591236
"NE",1100,17,.6969697,.943065
"NJ",1100,2,.747903,.8562259
"OH",1100,11,.7164698,.8034896
"OR",1100,3,.7858033,.8060125
"PA",1100,2,.8263239,1
"RI",1100,8,.84,.8645475
"UT",1100,16,.745,.7168894
"WA",1100,10,.766901,.7505258
"WI",1100,16,.6732215,.8761927
"AL",1175,2,.3194279,0
"AZ",1175,1,.0540541,0
"CA",1175,3,.0640679,0
"DC",1175,2,.6271186,.3390053
"IN",1175,3,.5516418,.0888158
"ME",1175,1,.6788512,.4928057
"MN",1175,1,.4809469,.113499
"NE",1175,3,.4306689,.0216509
"OH",1175,3,.6362007,.1872111
"OR",1175,1,.1083481,0
"PA",1175,1,.7149,.5169492
"UT",1175,3,.0159236,0
"WA",1175,2,.1064639,0
"WI",1175,3,.6405556,.1124567
"AL",1177,1,,
"AZ",1177,1,,
"CA",1177,1,.594131,1
"CO",1177,3,.7122947,1
"FL",1177,2,.551899,1
"IN",1177,1,,
"KS",1177,1,,
"MN",1177,3,.9708291,1
"NE",1177,3,.856974,1
"RI",1177,3,.3227991,.9402985
"UT",1177,3,.7503693,1
"WA",1177,1,,
"WI",1177,2,.7148578,1
"AL",1186,2,.9552941,1
"CA",1186,3,.8782321,1
"DC",1186,2,.8615385,.841507
"IN",1186,1,.9386213,1
"MN",1186,2,.8973747,1
"NE",1186,2,.9571984,1
"OH",1186,4,.9304833,1
"PA",1186,2,.7797021,.3284404
"UT",1186,2,.9455445,1
"WA",1186,1,,
"WI",1186,2,.8614718,.9739953
"AL",1276,4,.8454301,1
"AZ",1276,11,.6109134,1
"CA",1276,19,.8233163,.9182535
"CO",1276,11,.8912601,1
"DC",1276,9,,
"FL",1276,6,.5269296,.6712123
"IA",1276,1,.9966006,1
"IL",1276,4,.7892239,.7254134
"IN",1276,17,.7227314,.846535
"KS",1276,8,.9164557,1
"ME",1276,6,.6283784,.7145982
"MN",1276,20,.9957051,.9993742
"NE",1276,19,.9935622,1
"NJ",1276,5,.6154261,.4226128
"OH",1276,14,.7837044,.5258355
"OR",1276,7,.75,1
"PA",1276,2,.6678935,.584689
"RI",1276,8,.8292683,.7012221
"UT",1276,19,.7343542,1
"WA",1276,13,.7192192,1
"WI",1276,19,.9216922,.7675698
"AL",1282,2,.7732998,.5450981
"AZ",1282,6,.7314578,.5549076
"CA",1282,10,.760964,.5547739
"CO",1282,3,.7916667,.5383237
"DC",1282,9,,
"IL",1282,4,.6763203,.6016436
"IN",1282,9,.6404794,.4384693
"KS",1282,3,.6152648,.5270033
"ME",1282,6,.7380074,.5801324
"MN",1282,10,.7908083,.5835575
"NE",1282,10,.7234042,.5475977
"NJ",1282,4,.7127312,.6648988
"OH",1282,10,.6235294,.4732532
"OR",1282,6,.7584906,.5467156
"UT",1282,9,.7632242,.5140626
"WA",1282,10,.6706731,.541467
"WI",1282,10,.8512304,.4912981
"AL",1348,1,.9254658,.7162033
"AZ",1348,2,,
"CA",1348,1,.9350463,1
"DC",1348,4,,
"IN",1348,1,.9043355,1
"ME",1348,4,,
"MN",1348,1,.9579628,1
"NE",1348,1,.9208103,1
"NJ",1348,1,,
"OH",1348,1,.8974143,1
"OR",1348,2,,
"PA",1348,1,.8983012,
"UT",1348,1,.9520833,.7576987
"WA",1348,1,.9153298,1
"WI",1348,1,.9088849,1
"AL",1355,1,,
"CA",1355,1,.9093429,1
"IN",1355,2,,
"MN",1355,1,.6811321,.8964912
"NE",1355,1,.6524664,.7599111
"OH",1355,1,.6084829,1
"PA",1355,2,,
"UT",1355,1,.8192771,1
"WA",1355,1,.9200988,1
"WI",1355,1,.6200768,1
"CO",1356,1,.5745614,1
"FL",1356,1,.6631255,.5
"MN",1356,1,.6674938,1
"NE",1356,1,.6789116,1
"RI",1356,1,.625,
"UT",1356,1,.5414938,
"WI",1356,1,.5207547,
"AL",1366,2,,
"AZ",1366,2,,
"CA",1366,2,.9722222,
"DC",1366,2,,
"IN",1366,2,.9736842,
"ME",1366,2,,
"MN",1366,2,,
"NE",1366,2,,
"NJ",1366,1,,
"OH",1366,2,.9405099,1
"OR",1366,2,,
"PA",1366,2,,
"UT",1366,2,,
"WA",1366,2,.915493,
"WI",1366,2,.967033,
"AL",1421,3,,
"AZ",1421,6,.4780142,.1534162
"CA",1421,8,.2897033,.1589197
"CO",1421,9,.5286136,.2501372
"DC",1421,1,.8514286,.375982
"FL",1421,6,.7380041,.4997061
"IA",1421,1,.4740211,.075419
"IL",1421,1,.6044425,.1971383
"IN",1421,6,.806655,.7576021
