category,variable,corr,R2,R2_cns
beer,dlprice,.14717315,.02165994,.03967365
beer,dfeat,.51064791,.26076129,.0011289
beer,ddisp,.64179395,.41189948,.00653086
beer,dupc,.79383464,.63017344,.00191924
beer,davail,.49211894,.24218105,.00117682
beer,pfd,,,.02441462
beer,all,.85190639,.72574449,
blades,dlprice,-.40769179,.1662126,.10592667
blades,dfeat,.59682226,.35619681,.00825173
blades,ddisp,.37549119,.14099363,.05357037
blades,dupc,.75094793,.56392279,.17902706
blades,davail,.84761863,.71845734,.25706078
blades,pfd,,,.08161425
blades,all,.92786948,.86094176,
carbbev,dlprice,.005828,.00003397,.02233251
carbbev,dfeat,.68363977,.46736333,.01158603
carbbev,ddisp,.21479212,.04613565,.01615791
carbbev,dupc,.8487777,.72042359,.00250378
carbbev,davail,-.08528596,.00727369,1.827e-07
carbbev,pfd,,,.01526231
carbbev,all,.90852039,.8254093,
cigets,dlprice,-.06190982,.00383283,.05006359
cigets,dfeat,.11962329,.01430973,.00089016
cigets,ddisp,.18439478,.03400144,4.765e-09
cigets,dupc,.23767048,.05648726,.06369051
cigets,davail,.66326367,.4399187,.02734699
cigets,pfd,,,.04598487
cigets,all,.71056989,.50490957,
coffee,dlprice,-.72985233,.53268443,.04808442
coffee,dfeat,.80014485,.64023179,.00478189
coffee,ddisp,.82488611,.68043709,.031047
coffee,dupc,.95221137,.90670648,.39981282
coffee,davail,.79505854,.63211808,.09061416
coffee,pfd,,,.04125052
coffee,all,.9854291,.97107051,
coldcer,dlprice,-.74364123,.55300228,.08243087
coldcer,dfeat,.36517687,.13335415,.00965878
coldcer,ddisp,.73824055,.54499911,.03410493
coldcer,dupc,.54409164,.29603571,.0126178
coldcer,davail,.53575403,.28703238,8.472e-06
coldcer,pfd,,,.05977095
coldcer,all,.86078318,.74094768,
deod,dlprice,-.3834156,.14700752,.09730349
deod,dfeat,.60982464,.37188609,.0141897
deod,ddisp,.38033454,.14465436,.0389221
deod,dupc,.83782952,.7019583,.56510389
deod,davail,.70833932,.50174459,.20190695
deod,pfd,,,.08690108
deod,all,.94899981,.90060064,
diapers,dlprice,-.16469852,.0271256,.02554516
diapers,dfeat,-.16944352,.02871111,.00227754
diapers,ddisp,.16017965,.02565752,.0032518
diapers,dupc,.95160629,.90555453,.45567706
diapers,davail,.76884588,.59112398,.01942049
diapers,pfd,,,.0174652
diapers,all,.96814371,.93730225,
factiss,dlprice,-.34797968,.12108986,.08457741
factiss,dfeat,.407907,.16638812,.0142934
factiss,ddisp,.20342243,.04138068,.02079137
factiss,dupc,.14568267,.02122344,.05152891
factiss,davail,.84223655,.70936241,.0297238
factiss,pfd,,,.04961691
factiss,all,.9347786,.87381103,
fzdinent,dlprice,-.73133078,.53484471,.10245033
fzdinent,dfeat,.7121964,.50722371,.00758526
fzdinent,ddisp,.56267667,.31660503,.01234773
fzdinent,dupc,.9034836,.81628262,.70815831
fzdinent,davail,.33342723,.11117372,.01375187
fzdinent,pfd,,,.06717877
fzdinent,all,.94905427,.90070401,
fzpizza,dlprice,-.18294513,.03346892,.05145027
fzpizza,dfeat,.75589486,.57137704,.00903418
fzpizza,ddisp,.86365013,.74589155,.03812006
fzpizza,dupc,.93916533,.88203151,1.4527346
fzpizza,davail,.42040925,.17674393,.00968001
fzpizza,pfd,,,.03920665
fzpizza,all,.9788543,.95815574,
hhclean,dlprice,-.69981964,.48974753,.05895201
hhclean,dfeat,.42459193,.18027831,.00249631
hhclean,ddisp,.37715167,.14224338,.00440339
hhclean,dupc,.8829482,.77959753,.34937914
hhclean,davail,.40952848,.16771357,.00108072
hhclean,pfd,,,.04334809
hhclean,all,.9195227,.845522,
hotdog,dlprice,-.4257328,.18124842,.02591536
hotdog,dfeat,.43334735,.18778993,.01248148
