category,brand1,brand2,rhoprice,corrrelprice_panel,rmserelprice_panel,rhofeat,corrrelfeat_panel,rmserelfeat_panel,rhodisp,corrreldisp_panel,rmsereldisp_panel,rhoupc,corrrelupc_panel,rmserelupc_panel,rhoavail,corrrelavail_panel,rmserelavail_panel
"beer","BUDWEISER","MILLER",.1381627,-.138,.137,.3919481,.392,.127,.5315033,.532,.117,.6841409,.684,.101,.4402291,.44,.124
"blades","GILLETTE","BIC",-.2775049,.278,.046,.4109909,.411,.043,.25778,.258,.046,.7773245,.777,.03,.7692744,.769,.03
"carbbev","COKE CLASSIC","PEPSI",.0633038,-.063,.144,.6602226,.66,.108,.224639,.225,.14,.8304267,.83,.08,-.0949193,.095,.144
"cigets","MARLBORO","CAMEL",-.024467,.024,.047,.0458196,.046,.04,.530231,-.53,.027,.722582,.723,.032,.5822317,.582,.038
"coffee","FOLGERS","MAXWELL HOUSE",-.5518205,.552,.153,.6660177,.666,.137,.6571636,.657,.138,.8209634,.821,.105,.6768103,.677,.135
"coldcer","KELLOGGS FROSTED FLAKES","GENERAL MILLS CHEERIOS",-.7450829,.745,.07,.4420747,.442,.094,.7364779,.736,.071,.5538831,.554,.088,.5297508,.53,.089
"deod","MENNEN","SECRET",-.4321007,.432,.057,.6420981,.642,.048,.5337949,.534,.053,.822264,.822,.036,.6898742,.69,.046
"diapers","HUGGIES","PAMPERS",-.0203841,.02,.086,-.0865949,-.087,.085,.1139084,.114,.085,.9636042,.964,.023,.7494168,.749,.057
"factiss","KLEENEX","PUFFS",-.3576842,.358,.081,.4979431,.498,.075,.1736157,.174,.085,.9136379,.914,.035,.7340847,.734,.059
"fzdinent","STOUFFERS","BANQUET",-.7081381,.708,.107,.7225078,.722,.104,.5569111,.557,.125,.9223037,.922,.058,.3298083,.33,.142
"fzpizza","DI GIORNO","TOMBSTONE",-.0677696,.068,.158,.6524581,.652,.12,.7015645,.702,.113,.874226,.874,.077,.3352259,.335,.15
"hhclean","PINE SOL","LYSOL",-.7269446,.727,.066,.4634814,.463,.085,.0600847,.06,.095,.8632243,.863,.048,.3994573,.399,.087
"hotdog","OSCAR MAYER","BALL PARK",-.2933304,.293,.163,.4141827,.414,.156,.5239501,.524,.146,.8678318,.868,.085,.2426465,.243,.166
"laundet","TIDE","PUREX",-.4779577,.478,.074,.7252494,.725,.058,.5628061,.563,.07,.728734,.729,.058,.4813973,.481,.074
"margbutr","SHEDDS COUNTRY CROCK","I CANT BELIEVE ITS NOT BUTTER",-.7512782,.751,.079,.7181271,.718,.084,.7003335,.7,.086,.8612168,.861,.061,.1958971,.196,.118
"mayo","KRAFT","HELLMANNS",-.7175975,.718,.142,.6437654,.644,.156,.8163307,.816,.118,.8950748,.895,.091,.3757932,.376,.189
"milk","SILK","LACTAID 100",-.6576962,.658,.089,.1857767,.186,.106,.0086215,.009,.116,.7911671,.791,.072,.4042455,.404,.107
"mustketc","HEINZ","HUNTS",-.4896104,.49,.116,.377828,.378,.123,.4126839,.413,.121,.6696542,.67,.099,.3656205,.366,.124
"paptowl","BOUNTY","BRAWNY",-.4036355,.404,.106,.3949363,.395,.106,.3146135,.315,.11,.8647495,.865,.058,.3142886,.314,.11
"peanbutr","JIF","SKIPPY",-.8591387,.859,.125,.6064184,.606,.194,.5072863,.507,.21,.8783486,.878,.117,.6548415,.655,.184
"razors","GILLETTE","SCHICK",-.2220054,.222,.052,.4412409,.441,.048,.2538674,.254,.052,.7222741,.722,.037,.7388852,.739,.036
"saltsnck","LAYS","DORITOS",-.5381329,.538,.056,.4018983,.402,.06,.4208585,.421,.06,.4990379,.499,.057,.1941081,-.194,.065
"shamp","SUAVE","ALBERTO",-.5388665,.539,.061,.4393267,.439,.065,.5008196,.501,.063,.7492102,.749,.048,.6728627,.673,.054
"soup","CAMPBELLS","PROGRESSO",-.6434183,.643,.092,.6306132,.631,.093,.6378928,.638,.093,.8579698,.858,.062,.3257485,-.326,.114
"spagsauc","RAGU","PREGO",-.3434134,.343,.074,.0753147,.075,.078,-.024714,-.025,.078,.8528724,.853,.041,.5307379,.531,.066
"sugarsub","SPLENDA","SWEET & LOW",-.6631319,.663,.055,.0530381,.053,.073,.0504042,.05,.066,.5747515,.575,.06,-.1739604,-.174,.072
"toitisu","CHARMIN","QUILTED",-.1751109,.175,.1,.3379866,.338,.095,.3884273,.388,.093,.7455367,.746,.067,.4414127,.441,.091
"toothbr","ORAL B","COLGATE",-.780882,.781,.043,.411036,.411,.062,.4131815,.413,.062,.7669265,.767,.044,.5901922,.59,.055
"toothpa","COLGATE","CREST",-.6295219,.63,.062,.4596088,.46,.071,.6780361,.678,.059,.945712,.946,.026,.7801019,.78,.05
"yogurt","YOPLAIT","DANNON",-.3584531,.358,.11,.3741431,.374,.109,.1674222,.167,.116,.9254466,.925,.044,.5946301,.595,.094
"Mean","","",-.441787,.442,.092,.4399819,.44,.094,.4136832,.378,.094,.7981699,.798,.061,.4623564,.434,.096
"St. Dev.","","",.2746764,.275,.037,.215017,.215,.036,.2379119,.293,.038,.1164706,.116,.025,.2400353,.29,.045
