category,coeff,se,coeff_lb,coeff_ub,geog_dollar_mean,geog_dollar_sd
beer,-1.5267508,.15186368,-1.8244036,-1.229098,.55702356,.40606663
blades,-.42776399,.04482989,-.51563058,-.33989741,3.6564205,.48326832
carbbev,-1.6365788,.12951829,-1.8904346,-1.3827229,.30087765,.38135127
cigets,-2.0230276,.10785465,-2.2344228,-1.8116325,1.0780927,.23611132
coffee,-2.0683159,.11192103,-2.2876811,-1.8489507,.36064129,.3881335
coldcer,-1.2732944,.1134349,-1.4956268,-1.050962,.4063672,.28829001
deod,-1.1481894,.07921349,-1.3034478,-.99293092,.17141906,.18978412
diapers,-1.7634977,.23414691,-2.2224256,-1.3045698,.16683552,.19864984
factiss,-1.5553693,.06892522,-1.6904627,-1.4202759,.57844194,.30704391
fzdinent,-2.2243091,.09355463,-2.4076762,-2.040942,.65789076,.22998164
fzpizza,-1.5342133,.12804007,-1.7851719,-1.2832548,.61183508,.40945112
hhclean,-1.9839803,.09171312,-2.163738,-1.8042226,.15738232,.16392877
hotdog,-1.4692749,.07756681,-1.6213058,-1.3172439,.42425863,.53445652
laundet,-1.8641032,.09151066,-2.0434641,-1.6847423,1.3164105,.22745698
margbutr,-1.1248559,.08075132,-1.2831285,-.96658331,.42946098,.38624704
mayo,-1.4120288,.05895478,-1.5275802,-1.2964774,.50052875,.57957794
milk,-2.522711,.24409918,-3.0011454,-2.0442767,.12216278,.17267685
mustketc,-1.7835204,.11647252,-2.0118065,-1.5552342,.91771946,.39495243
paptowl,-1.9916031,.08350358,-2.1552701,-1.8279361,.76371641,.25349787
peanbutr,-.52111333,.17110021,-.85646973,-.18575692,2.4798798,2.5523774
razors,.76582356,.07054514,.62755508,.90409204,.86881403,.2141876
saltsnck,-1.4507723,.10045663,-1.6476673,-1.2538773,.12623211,.15364487
shamp,-1.5316186,.07018691,-1.669185,-1.3940523,.8764793,.17875864
soup,-2.5772346,.12056442,-2.8135409,-2.3409283,.39759632,.19790913
spagsauc,-1.4659454,.10025833,-1.6624518,-1.2694391,.22052971,.21764189
sugarsub,-3.6189182,.0828094,-3.7812247,-3.4566118,.88479232,.0637499
toitisu,-1.6530653,.06578875,-1.7820113,-1.5241194,.31955794,.24835746
toothbr,-.98065248,.09321986,-1.1633634,-.79794156,.45891191,.21447611
toothpa,-1.1682621,.05208695,-1.2703525,-1.0661717,.20753566,.22420808
yogurt,-1.023869,.09062466,-1.2014934,-.84624471,.392114,.46707086
