category,coeff,se,R2
beer,-1.2402906,2.0516143,.0080562
blades,-1.0879812,.29892286,.22743084
carbbev,-4.1224797,.74748476,.40331534
cigets,-2.077888,.9372296,.09847327
coffee,-4.3666242,.50697949,.62243287
coldcer,-1.5062956,.52288307,.15570209
deod,-1.9063162,.42384523,.31012322
diapers,-1.6199837,1.443563,.02722389
factiss,-2.4881215,.44385041,.41118444
fzdinent,-2.1804748,.6045848,.22423579
fzpizza,-1.8886584,.81197631,.10732502
hhclean,-1.7288862,.44545348,.25079386
hotdog,-2.2316162,.49793786,.30860474
laundet,-3.4092233,.53921706,.47042971
margbutr,-3.0510448,.38140449,.58712559
mayo,-2.1143831,.75942222,.14694802
milk,-2.0355329,.61794893,.19427806
mustketc,-3.1350864,.74115857,.28449606
paptowl,-2.6895087,.53510387,.35954106
peanbutr,-5.8853647,1.1849439,.35408843
razors,-.46421681,.48154438,.02023387
saltsnck,-2.4780665,.25115165,.68388668
shamp,-3.1436836,.37812724,.60567714
soup,-3.5083179,.39008262,.64253971
spagsauc,-3.0561432,.56573088,.39339074
sugarsub,-1.1347653,.26426284,.29065835
toitisu,-2.1739593,.45166356,.33985803
toothbr,-1.2107455,.48951496,.11967521
toothpa,-2.0002508,.55079007,.22665184
yogurt,-2.7499897,1.0443073,.13352139
