     FIPS Code  ST          County Name DMA code  \
0        25003  MA            BERKSHIRE      532   
1        50003  VT           BENNINGTON      532   
2        36001  NY               ALBANY      532   
3        36093  NY          SCHENECTADY      532   
4        36057  NY           MONTGOMERY      532   
5        36039  NY               GREENE      532   
6        36021  NY             COLUMBIA      532   
7        36083  NY           RENSSELAER      532   
8        36091  NY             SARATOGA      532   
9        36035  NY               FULTON      532   
10       36095  NY            SCHOHARIE      532   
11       36041  NY             HAMILTON      532   
12       36113  NY               WARREN      532   
13       36115  NY           WASHINGTON      532   
14       37043  NC                 CLAY      524   
15       13089  GA              DE KALB      524   
16       13135  GA             GWINNETT      524   
17       13121  GA               FULTON      524   
18       13067  GA                 COBB      524   
19       13013  GA               BARROW      524   
20       13247  GA             ROCKDALE      524   
21       13217  GA               NEWTON      524   
22       13297  GA               WALTON      524   
23       13117  GA              FORSYTH      524   
24       13057  GA             CHEROKEE      524   
25       13015  GA               BARTOW      524   
26       13233  GA                 POLK      524   
27       13115  GA                FLOYD      524   
28       13045  GA              CARROLL      524   
29       13143  GA             HARALSON      524   
30       13097  GA              DOUGLAS      524   
31       13223  GA             PAULDING      524   
32       13129  GA               GORDON      524   
33       13227  GA              PICKENS      524   
34       13171  GA                LAMAR      524   
35       13113  GA              FAYETTE      524   
36       13231  GA                 PIKE      524   
37       13255  GA             SPALDING      524   
38       13035  GA                BUTTS      524   
39       13149  GA                HEARD      524   
40       13199  GA           MERIWETHER      524   
41       13077  GA               COWETA      524   
42       13151  GA                HENRY      524   
43       13285  GA                TROUP      524   
44       13063  GA              CLAYTON      524   
45       13293  GA                UPSON      524   
46       13139  GA                 HALL      524   
47       13137  GA            HABERSHAM      524   
48       13011  GA                BANKS      524   
49       13291  GA                UNION      524   
50       13111  GA               FANNIN      524   
51       13157  GA              JACKSON      524   
52       13123  GA               GILMER      524   
53       13241  GA                RABUN      524   
54       13311  GA                WHITE      524   
55       13187  GA              LUMPKIN      524   
56       13085  GA               DAWSON      524   
57       13281  GA                TOWNS      524   
58       13059  GA               CLARKE      524   
59       13221  GA           OGLETHORPE      524   
60       13219  GA               OCONEE      524   
61       13211  GA               MORGAN      524   
62       13195  GA              MADISON      524   
63       13133  GA               GREENE      524   
64       13055  GA            CHATTOOGA      524   
65       13237  GA               PUTNAM      524   
66       13159  GA               JASPER      524   
67       01029  AL             CLEBURNE      524   
68       01111  AL             RANDOLPH      524   
69       48453  TX               TRAVIS      635   
70       48491  TX           WILLIAMSON      635   
71       48319  TX                MASON      635   
72       48299  TX                LLANO      635   
73       48287  TX                  LEE      635   
74       48021  TX              BASTROP      635   
75       48053  TX               BURNET      635   
76       48031  TX               BLANCO      635   
77       48209  TX                 HAYS      635   
78       48055  TX             CALDWELL      635   
79       48171  TX            GILLESPIE      635   
80       48149  TX              FAYETTE      635   
81       24027  MD               HOWARD      512   
82       24003  MD         ANNE ARUNDEL      512   
83       24025  MD              HARFORD      512   
84       24005  MD            BALTIMORE      512   
85       24013  MD              CARROLL      512   
86       24510  MD       BALTIMORE CITY      512   
87       24041  MD               TALBOT      512   
88       24035  MD         QUEEN ANNE'S      512   
89       24011  MD             CAROLINE      512   
90       24029  MD                 KENT      512   
91       24015  MD                CECIL      512   
92       01115  AL             ST CLAIR      630   
93       01073  AL            JEFFERSON      630   
94       01117  AL               SHELBY      630   
95       01009  AL               BLOUNT      630   
96       01121  AL            TALLADEGA      630   
