(26304702, 139)
         product_module_code                 product_module_descr
0                       7035                             SOAP BAR
33                      7135                      CLEANERS WINDOW
60                      7450                                 GLUE
63                      1042         FRUIT DRINKS OTHER CONTAINER
123                     4225                FRESH FRUIT REMAINING
135                     1493                      CANDY CHOCOLATE
138                     4004                   BAKERY CAKES FRESH
141                     2659   FROZEN WAFFLES PANCAKES FRENCH TST
144                     6011                       MAILING SUPPLY
150                     7370                             CHARCOAL
153                     1362                              COOKIES
159                     4000                   BAKERY BREAD FRESH
162                     1503                         MARSHMALLOWS
186                     3564          REMAINING READY MADE SALADS
198                     5052              WINE IMPORTED DRY TABLE
204                     1498                  CANDY NON CHOCOLATE
207                     2634   VEGETABLES POTATOES FROZEN RFRGRTD
216                     1327                     SNACKS REMAINING
225                     1487                        WATER BOTTLED
255                     5050              WINE DOMESTIC DRY TABLE
258                     4280           FRESH VEGETABLES REMAINING
261                     7453                   CAT AND DOG LITTER
306                     8467                COSMETICS NAIL POLISH
312                     1494              CANDY CHOCOLATE SPECIAL
318                     4020                          FRESH HERBS
321                     7630    SCHOOL AND OFFICE PAPER AND FORMS
330                     1531    DIETING AIDS COMPLETE NUTRITIONAL
336                     8397              NUTRITIONAL SUPPLEMENTS
339                     3588            CHEESE SPECIALTY IMPORTED
342                     2661              BAKERY REMAINING FROZEN
345                     1083  VEGETABLES POTATOES SPECIALTY DHYDR
348                     1484               SOFT DRINKS CARBONATED
354                     1553              SOFT DRINKS LOW CALORIE
357                     8455          COSMETICS FOUNDATION LIQUID
360                     3611                               BUTTER
390                     1395                        MIXES PANCAKE
393                     1386             MIXES ROLLS AND BISCUITS
402                     7034                          SOAP LIQUID
408                     6029              TELEPHONE AND ACCESSORY
411                     8412                             ANTACIDS
420                     8400                    VITAMINS MULTIPLE
435                     8423                  COLD REMEDIES ADULT
459                     1311                    DOG FOOD DRY TYPE
462                     1306                    CAT FOOD DRY TYPE
474                     1309                    DOG FOOD WET TYPE
477                     7307                   BAGS LAWN AND LEAF
483                     1319               RICE PACKAGED AND BULK
486                     1125     ENTREES SIDE DISHES SHELF STABLE
504                     1271                          SNACKS MEAT
510                     1356                      CRACKERS CHEESE
537                     1364                    STUFFING PRODUCTS
582                     8408  VITAMINS CHILDREN FLAVORED CHEWABLE
591                     7306                    BAGS TALL KITCHEN
600                     1393        FLOUR ALL PURPOSE WHITE WHEAT
633                     1344                  CEREAL READY TO EAT
678                     1508                            NUTS BAGS
882                     1340                    DRY DINNERS PASTA
888                     8414                             MINERALS
909                     1276                   BABY FOOD STRAINED
921                     7295                    BAGS FOOD STORAGE
927                     7305           BAGS TRASH TRASH COMPACTOR
1026                    1384                   MIXES DESSERT MISC
1032                    1425               FRUIT DRIED AND SNACKS
1104                    1387                         MIXES COOKIE
1113                    1377          FLOUR ALL PURPOSE REMAINING
1542                    1274             BABY CEREAL AND BISCUITS
1548                    3576            FRANKFURTERS REFRIGERATED
1554                    3574        LUNCHMEAT SLICED REFRIGERATED
1560                    2603                        MEAL STARTERS
1701                    1405                          SYRUP TABLE
1707                    6089     FLOWER AND PLANT ARTIFICIAL REAL
1737                    1188                              VINEGAR
1749                    8540        MOTION SICKNESS PREVENTATIVES
1761                    1156                              PEPPERS
1764                    1166                        PICKLES SWEET
1770                    1160         PICKLED VEGETABLES AND FRUIT
1779                    1168                         PICKLES DILL
1875                    1031                                CIDER
2157                    1489                    BREATH SWEETENERS
2211                    3583                    SPREADS REMAINING
2226                    7741          CANDLE AND CANDLE IN HOLDER
2229                    7340                    DISPOSABLE DISHES
2235                    8902            MAGAZINES SELECTED TITLES
2238                    1164                             RELISHES
2325                    1075               VEGETABLES OKRA CANNED
2469                    1479                        SEASONING DRY
2490                    8460                HAND AND BODY LOTIONS
2514                    1441              GRANOLA AND YOGURT BARS
2529                    1339                     DRY DINNERS RICE
2589                    2665                      FROZEN DESSERTS
2595                    1403                     SUGAR GRANULATED
2730                    8512                    ADHESIVE BANDAGES
2733                    1261            PIZZA PIE AND CRUST MIXES
2757                    2625      ENTREES REMAINING 1 FOOD FROZEN
2778                    2623        ENTREES ITALIAN 1 FOOD FROZEN
2841                    2624        ENTREES MEXICAN 1 FOOD FROZEN
2862                    1375         MIXES CAKE LAYER OVER 10 OZ.
2886                    1452        SNACKS HEALTH BARS AND STICKS
2889                    1321                         RICE INSTANT
2925                    1320                           RICE MIXES
3189                    8515       PAIN REMEDIES ALKALIZING EFRVS
3216                    7090             STARCH AEROSOL AND SPRAY
3231                    1372             FROSTING READY TO SPREAD
3252                    2628  FROZEN RFRGRTD HORS D'OEUVRES SNCKS
3255                    2622          ENTREES ASIAN 1 FOOD FROZEN
3261                    2611           ENTREES MEAT 2 FOOD FROZEN
3330                    1445                       BREAKFAST BARS
3339                    1380                       MIXES BROWNIES
3420                    1461                           TEA LIQUID
3423                    1030    FRUIT DRINKS AND JUICES CRANBERRY
3426                    1040   FRUIT JUICE ORANGE OTHER CONTAINER
3438                    1033                    FRUIT JUICE APPLE
3444                    7410                              CAMERAS
3447                    6010    ARTIST AND HOBBY PAINT AND SUPPLY
3459                    1337                DRY DINNERS REMAINING
3516                    4475                       FRESH TOMATOES
